userid,query,label,xid,pid,database,querytxt,starttime,endtime,aborted,insert_pristine,concurrency_scaling_status
107,11306220,default                       ,192731066,121395,prod                            ,select distinct fct_version from redshift_vdps where TRUE and device_type IN ('TABLET') and to_country = 'JP' and channel = 'OFFLINE' and fct_version like 'OP2%' order by fct_version desc limit 1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,2020-05-05 23:48:33.546550,2020-05-05 23:48:47.087703,1,0,24
107,11306276,default                       ,192731179,121441,prod                            ,"WITH actual AS ( SELECT date_trunc('month',DATE) AS MONTH, SUM(CASE WHEN DATE< '2020-05-03' THEN actual ELSE vdp_plus_units END) AS vdp_plus FROM attainments_cache vdp JOIN asins USING (ASIN) WHERE TRUE AND EXTRACT(YEAR FROM DATE) = '2020' AND device_type IN ('TABLET') AND country = 'JP' AND channel = 'OFFLINE' GROUP BY 1 ORDER BY 1 ), OP2 AS ( SELECT date_trunc('month',DATE) AS MONTH, SUM(vdp_plus_units) AS op2 FROM redshift_Vdps WHERE TRUE AND fct_version = 'OP2_20200102' AND device_type IN ('TABLET') AND to_country = 'JP' AND channel = 'OFFLINE' GROUP BY 1 ORDER BY 1 ) SELECT a.month, vdp_plus, op2 FROM actual a JOIN op2 o USING (month) ORDER BY 1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",2020-05-05 23:49:20.759281,2020-05-05 23:49:33.841462,1,0,24
129,11307018,default                       ,192732609,70732,prod                            ,"create temp table raw_historicals_online diststyle ALL as ( SELECT order_day :: date, lower(MARKETPLACES_temp.country) country, 'online' as channel, device_type, program, bundle, wireless_type, storage, dtcp, tcpu_config, sum(c.quantity) as Ordered_QTY, sum(case when discount_amount is not null then discount_amount else our_price end*quantity)/sum(quantity) as asp, sum(C.list_price * c.quantity) / sum(quantity) as alp FROM d_customer_order_items_device_v2 C inner JOIN ASIN_temp USING (ASIN) inner JOIN MARKETPLACES_temp USING (MARKETPLACE_ID) inner join merchant_customers_temp on c.seller_customer_id = merchant_customers_temp.unencrypted_merchant_customer_id where true and extract ( year from order_day ) >= extract( year from current_date ) - 4 and c.is_free_replacement = 'N' and quantity >= 1 and condition != 6 group by 1, 2, 3, 4 ,5,6,7,8,9,10 order by 1 );                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ",2020-05-05 23:52:40.364822,2020-05-05 23:52:53.409041,1,0,3
107,11307602,default                       ,192733754,122742,prod                            ," SELECT fct_version, date, v.device_type, v.program, asin, sum(vdp_plus_units - baseline_units) as promo_units FROM vdp_staging_retailer_vdps v LEFT JOIN asins USING(asin) WHERE fct_version IN ('VDP_20181231','VDP_20190107','VDP_20190114','VDP_20190121','VDP_20190128','VDP_20190204','VDP_20190211','VDP_20190218','VDP_20190225','VDP_20190304','VDP_20190311','VDP_20190318','VDP_20190325','VDP_20190401','VDP_20190408','VDP_20190415','VDP_20190422','VDP_20190429','VDP_20190506','VDP_20190513','VDP_20190520','VDP_20190527','VDP_20190603','VDP_20190610','VDP_20190617','VDP_20190624','VDP_20190701','VDP_20190708','VDP_20190715','VDP_20190722','VDP_20190729','VDP_20190805','VDP_20190812','VDP_20190819','VDP_20190826','VDP_20190902','VDP_20190909','VDP_20190916','VDP_20190923','VDP_20190930','VDP_20191007','VDP_20191014','VDP_20191021','VDP_20191028','VDP_20191104','VDP_20191111','VDP_20191118','VDP_20191125','VDP_20191202','VDP_20191209','VDP_20191216','VDP_20191223','VDP_20191230','VDP_20200106','VDP_20200113','VDP_20200120','VDP_20200127','VDP_20200203','VDP_20200210','VDP_20200217','VDP_20200224') AND date BETWEEN '2018-12-16' AND Getdate() AND from_country = 'US' AND channel = 'ONLINE' AND UPPER(v.device_type) IN ('AUCC', 'SMP', 'TABLET', 'EINK', 'RING', 'BLINK') GROUP BY 1,2,3,4,5 ORDER BY 1,2,3,4,5;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ",2020-05-05 23:57:07.230472,2020-05-05 23:57:20.019603,1,0,24
107,11308743,default                       ,192735341,123510,prod                            ,fetch 10000 in "SQL_CUR6";                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,2020-05-06 00:03:41.332813,2020-05-06 00:06:10.022078,1,0,4
107,11309089,default                       ,192735936,123874,prod                            ," SELECT fct_version, date, v.device_type, v.program, asin, sum(vdp_plus_units - baseline_units) as promo_units FROM vdp_staging_retailer_vdps v LEFT JOIN asins USING(asin) WHERE fct_version IN ('VDP_20181231','VDP_20190107','VDP_20190114','VDP_20190121','VDP_20190128','VDP_20190204','VDP_20190211','VDP_20190218','VDP_20190225','VDP_20190304','VDP_20190311','VDP_20190318','VDP_20190325','VDP_20190401','VDP_20190408','VDP_20190415','VDP_20190422','VDP_20190429','VDP_20190506','VDP_20190513','VDP_20190520','VDP_20190527','VDP_20190603','VDP_20190610','VDP_20190617','VDP_20190624','VDP_20190701','VDP_20190708','VDP_20190715','VDP_20190722','VDP_20190729','VDP_20190805','VDP_20190812','VDP_20190819','VDP_20190826','VDP_20190902','VDP_20190909','VDP_20190916','VDP_20190923','VDP_20190930','VDP_20191007','VDP_20191014','VDP_20191021','VDP_20191028','VDP_20191104','VDP_20191111','VDP_20191118','VDP_20191125','VDP_20191202','VDP_20191209','VDP_20191216','VDP_20191223','VDP_20191230','VDP_20200106','VDP_20200113','VDP_20200120','VDP_20200127','VDP_20200203','VDP_20200210','VDP_20200217','VDP_20200224') AND date BETWEEN '2018-12-16' AND Getdate() AND from_country = 'US' AND channel = 'ONLINE' AND UPPER(v.device_type) IN ('AUCC', 'SMP', 'TABLET', 'EINK', 'RING', 'BLINK') GROUP BY 1,2,3,4,5 ORDER BY 1,2,3,4,5;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ",2020-05-06 00:06:08.582475,2020-05-06 00:06:21.737548,1,0,24
107,11309119,default                       ,192735973,123920,prod                            ,select distinct fct_version from redshift_vdps where TRUE and device_type IN ('SMP') and to_country = 'JP' and channel = 'OFFLINE' and fct_version like 'OP2%' order by fct_version desc limit 1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,2020-05-06 00:06:25.742889,2020-05-06 00:06:39.602900,1,0,24
107,11309278,default                       ,192736296,124102,prod                            ,"SELECT fct_version, date_trunc('week',DATE+1)-1 as week, vdp.program, SUM(vdp_plus_units) vdp_plus_units, SUM(baseline_units) baseline_units, SUM(promo_units_approved+promo_units_unapproved) as promo_units, SUM(promo_units_unapproved) promo_units_unapproved FROM redshift_vdps vdp LEFT JOIN asins USING (ASIN) WHERE true AND vdp_type = 'device' AND fct_version IN (SELECT distinct fct_version FROM redshift_vdps WHERE LEFT (fct_version,3) = 'VDP' AND vdp_type = 'device' AND fct_version < 'VDP_20200505' ORDER BY fct_version DESC LIMIT 5) AND is_refurb IS false AND is_demo IS false AND is_replacement IS false AND date BETWEEN '2020-05-05' AND '2021-05-05 00:00:00' AND vdp.device_type IN ('SMP') and to_country = 'JP' and channel = 'OFFLINE' GROUP BY 1,2,3 ORDER BY 1,2,3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ",2020-05-06 00:08:16.511031,2020-05-06 00:08:30.249708,1,0,24
107,11309291,default                       ,192736304,124113,prod                            ,"SELECT fct_version, date_trunc('week',DATE+1)-1 as week, vdp.program, SUM(vdp_plus_units) vdp_plus_units, SUM(baseline_units) baseline_units, SUM(promo_units_approved+promo_units_unapproved) as promo_units, SUM(promo_units_unapproved) promo_units_unapproved FROM redshift_vdps vdp LEFT JOIN asins USING (ASIN) WHERE true AND vdp_type = 'device' AND fct_version IN (SELECT distinct fct_version FROM redshift_vdps WHERE LEFT (fct_version,3) = 'VDP' AND vdp_type = 'device' AND fct_version < 'VDP_20200506' ORDER BY fct_version DESC LIMIT 5) AND is_refurb IS false AND is_demo IS false AND is_replacement IS false AND date BETWEEN '2020-05-06' AND '2021-05-06 00:00:00' AND vdp.device_type IN ('AuCC') and to_country = 'CA' and channel = 'ONLINE' GROUP BY 1,2,3 ORDER BY 1,2,3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ",2020-05-06 00:08:21.612162,2020-05-06 00:08:34.592793,1,0,24
107,11309459,default                       ,192736561,124263,prod                            ,"CREATE TEMP TABLE volt_tt_5a4ef94731f6f(fct_version) AS SELECT DISTINCT public.redshift_vdps.fct_version FROM public.redshift_vdps WHERE public.redshift_vdps.vdp_type = 'device' AND left( public.redshift_vdps.fct_version, 3 ) = 'VDP' AND pgdate_part( 'dow', date( right( public.redshift_vdps.fct_version, 8 ) ) ) = 1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ",2020-05-06 00:09:38.276664,2020-05-06 00:09:51.408731,1,0,24
107,11309596,default                       ,192736771,124263,prod                            ,"CREATE TEMP TABLE volt_tt_5a4ef965cd44c(fct_version) AS SELECT DISTINCT public.redshift_vdps.fct_version FROM public.redshift_vdps WHERE public.redshift_vdps.vdp_type = 'device' AND left( public.redshift_vdps.fct_version, 3 ) = 'VDP' AND pgdate_part( 'dow', date( right( public.redshift_vdps.fct_version, 8 ) ) ) = 1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ",2020-05-06 00:10:10.370776,2020-05-06 00:10:22.675602,1,0,24
107,11309642,default                       ,192736834,119196,prod                            ,padb_fetch_sample: select * from asin_temp                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,2020-05-06 00:10:29.797718,2020-05-06 00:10:35.305001,1,0,3
107,11310009,default                       ,192737277,124975,prod                            ,fetch 10000 in "SQL_CUR6";                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,2020-05-06 00:12:31.481750,2020-05-06 00:12:37.604102,1,0,4
107,11310328,default                       ,192737608,119196,prod                            ,select * from asin_temp limit 10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,2020-05-06 00:14:11.665316,2020-05-06 00:14:17.864336,1,0,5
107,11310495,default                       ,192737851,119196,prod                            ,"create temp table raw_historicals_online distkey(asin) sortkey(asin) as ( SELECT order_day :: date, MARKETPLACES_temp.country, ASIN_temp.DEVICE_TYPE as DEVICE_TYPE, 'ONLINE' as channel, asin_temp.asin, -- asin_temp.program || case when lower(coalesce(bundle, '')) in ('','none') then'' else' ' + bundle end as program_bundle, sum(c.quantity) as Ordered_QTY, -- sum(baseline_units) as baseline_units, sum( (C.our_price) * c.quantity ) as Total_Sales, case when sum(C.list_price) = 0 then sum(C.list_price * c.quantity) else sum(C.list_price * c.quantity) end as Total_List, sum( ( c.our_price ) * c.quantity ) / sum(quantity) as asp, sum(C.list_price * c.quantity) / sum(quantity) as alp, 0.95 *(sum(C.list_price * c.quantity) / sum(quantity)) as alp_95 FROM d_customer_order_items_device C inner JOIN ASIN_temp USING (ASIN) inner JOIN MARKETPLACES_temp USING (MARKETPLACE_ID) inner join merchant_customers_temp on c.seller_customer_id = merchant_customers_temp.unencrypted_merchant_customer_id -- inner join attainments_cache on c.asin = attainments_cache.asin and MARKETPLACES_temp.country = attainments_cache.country and attainments_cache.channel = 'ONLINE' where true --and extract ( year --from --c.order_day ) >= extract( year --from --current_date ) - 3 and order_day < current_date and c.is_free_replacement = 'N' and quantity >= 1 and condition != 6 and list_price != 0 and our_price != 0 group by 1, 2, 3, 4 ,5 ) ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ",2020-05-06 00:15:38.422259,2020-05-06 00:15:41.006612,1,0,3
129,11310933,default                       ,192738589,70732,prod                            ,"create temp table adjusted_promotions diststyle all as ( select 'prVIZFWYLKCU4JG' as promotion_id , 49.99::real as discount_amount union all select 'prU5ESTSGN3CWQQ' , 49.99 union all select 'pr5SV2SUD24STZG' , 49.99 union all select 'prVMZW3ZYMSO3EO' , 49 union all select 'prTAXGMK7QLRC7A' , 49 union all select 'prTZSUHQI343HSQ' , 89.99 union all select 'prDZBDAB2NARUVA' , 89.99 union all select 'prXPPWYYUNZEOCC' , 89.99 union all select 'prRTFDTVT2CBDVS' , 49.99 union all select 'prFYKQL6LRPVZTC' , 49.99 union all select 'prWZYE7MAOQBEVY' , 49.99 union all select 'pr6QCJTNSM3ASIY' , 89.99 union all select 'prFPCY557N6YMYQ' , 49.99 union all select 'prMEDNAIW4CCVCG' , 49.99 union all select 'prUGQVRXXZBDK46' , 49 union all select 'pr2L7J5FA3DZEQK' , 49.99 union all select 'prWXVX6OVPOXMQU' , 49.99 union all select 'prAO4YRKV54AKZA' , 49 union all select 'prJ2QCXXFI2X6ZU' , 89.99 union all select 'prMIXUQ4ARTHBR6' , 89.99 union all select 'prOD6R34XISAY2G' , 89.99 union all select 'prRUYGIEUBSFZOK' , 89.99 union all select 'prCMYGROXFDFMA2' , 49.99 union all select 'prV6GV5GLMEWYYU' , 49.99 union all select 'pr7TFTMXXEEW7DC' , 49.99 union all --2020 data select 'prv2TKCOP32O743GY' , 49.99 union all select 'prCWQCEPM4ZULO6' , 49.99 union all select 'prPWQGCD5J7RQ6W' , 49 union all select 'prEME65LLGBW5AY' , 49 union all select 'prNFA2LIW5UPNG6' , 49.99 union all select 'prWBLPU5LBSI6IE' , 49.99 union all select 'prOLXYJ76NPERGU' , 49 union all select 'prROVZUL4QA6LY6' , 49.99 union all select 'prEY75OVJFWWIFS' , 49.99 union all select 'prLLQWQB7PKZYDK' , 49.99 union all select 'prF72U3P7HPUZ5M' , 49.99 union all select 'prTASUILY3WQ4BQ' , 49.99 union all select 'prPH6TLDKJQ57IS' , 89.99 union all select 'prUNZFUZZEVLOVY' , 49.99 union all select 'prZNA4UBVS26VCW' , 49 union all select 'prv2WLSGJKCNYIA7Q' , 49.99 union all select 'prZGFMPJBITIACW' , 49.99 union all select 'prIOBHJWKIOMSQS' , 49.99 union all select 'prQPMTSTAOAYKFM' , 89.99 union all select 'prZIVQZ342JUJSQ' , 49.99 union all select 'prNXDELZOSHM6MI' , 49.99 union all select 'prGKPXZFE2F2ZJC' , 49.99 union all select 'pr5NFWT6XQJ6XYM' , 89.99 union all select 'prVPODXPAND6EH6' , 89.99 union all select 'prFNDGGJ45KCFGC' , 89.99 union all select 'prVNXGIESHQDDSY' , 49.99 union all select 'prFTUGJ5BW7BQ7S' , 49.99 union all select 'prAVRVSU36UK7FC' , 49.99 union all select 'prPBUTYKWY7V6UO' , 49 union all select 'prY6OQV43COQ7L4' , 89.99 union all select 'pr4YYQIG5EEV5RI' , 49.99 union all select 'prNPEXK2PPOWLLU' , 49.99 union all select 'pr2B3LL5EGMPZDE' , 49 union all select 'pr3MYCHRAZA2PO2' , 49 union all select 'prIYVLUKXYX4NQE' , 49.99 union all select 'prNVC3Z2QBSSONO' , 49.99 union all select 'prQN2NYNI5AWXFO' , 49.99);                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",2020-05-06 00:19:46.124276,2020-05-06 00:19:54.354549,1,0,3
107,11311126,default                       ,192738930,126454,prod                            ," SELECT fct_version, date, v.device_type, v.program, asin, sum(vdp_plus_units - baseline_units) as promo_units FROM vdp_staging_retailer_vdps v LEFT JOIN asins USING(asin) WHERE fct_version IN ('VDP_20181231','VDP_20190107','VDP_20190114','VDP_20190121','VDP_20190128','VDP_20190204','VDP_20190211','VDP_20190218','VDP_20190225','VDP_20190304','VDP_20190311','VDP_20190318','VDP_20190325','VDP_20190401','VDP_20190408','VDP_20190415','VDP_20190422','VDP_20190429','VDP_20190506','VDP_20190513','VDP_20190520','VDP_20190527','VDP_20190603','VDP_20190610','VDP_20190617','VDP_20190624','VDP_20190701','VDP_20190708','VDP_20190715','VDP_20190722','VDP_20190729','VDP_20190805','VDP_20190812','VDP_20190819','VDP_20190826','VDP_20190902','VDP_20190909','VDP_20190916','VDP_20190923','VDP_20190930','VDP_20191007','VDP_20191014','VDP_20191021','VDP_20191028','VDP_20191104','VDP_20191111','VDP_20191118','VDP_20191125','VDP_20191202','VDP_20191209','VDP_20191216','VDP_20191223','VDP_20191230','VDP_20200106','VDP_20200113','VDP_20200120','VDP_20200127','VDP_20200203','VDP_20200210','VDP_20200217','VDP_20200224') AND date BETWEEN '2018-12-16' AND Getdate() AND from_country = 'US' AND channel = 'ONLINE' AND UPPER(v.device_type) IN ('AUCC', 'SMP', 'TABLET', 'EINK', 'RING', 'BLINK') GROUP BY 1,2,3,4,5 ORDER BY 1,2,3,4,5;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ",2020-05-06 00:22:58.627026,2020-05-06 00:23:10.867098,1,0,24
107,11311241,default                       ,192739047,119196,prod                            ,padb_fetch_sample: select * from raw_historicals_offline                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,2020-05-06 00:25:02.030569,2020-05-06 00:25:05.954569,1,0,3
107,11311855,default                       ,192739916,119196,prod                            ,padb_fetch_sample: select * from raw_historicals_offline_w_price                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,2020-05-06 00:28:04.834244,2020-05-06 00:28:04.850882,1,0,3
